Journal name,JCR Abbreviation,Publisher,ISSN,eISSN,Category,Edition,Total Citations,2023 JIF,2023 JCI,% of Citable OA,JIF Rank,5 Year JIF,5 Year JIF Quartile,JIF Without Self Cites,Immediacy Index,JCI Rank,JCI Quartile,JCI Percentile,Eigenfactor,Normalized Eigenfactor,Article Influence Score,JIF Percentile,JIF Quartile,AIS Quartile,Citable Items,% of Articles in Citable items,Cited Half-Life,Citing Half-Life,Total Articles
"British Accounting Review","BRIT ACCOUNT REV","ELSEVIER SCI LTD","0890-8389","1095-8347","BUSINESS, FINANCE","SSCI","3,501","5.5","1.55","19.66"%," 17/233 ","7.4","Q1","5.2","2.7"," 23/233 ","Q1","90.34","0.002","0.481","1.461","92.9","Q1","Q1","43","97.67"%,"6.9","9.8","42",
"Green Finance","GREEN FINANC","AMER INST MATHEMATICAL SCIENCES-AIMS","2643-1092","2643-1092","BUSINESS, FINANCE","ESCI","381","5.5","1.28","95.71"%," 17/233 ","3.8","Q1","5.3","0.4"," 34/233 ","Q1","85.62","0","0.084","0.475","92.9","Q1","Q3","23","82.61"%,"2.5","5.5","19",
"JOURNAL OF ACCOUNTING & ECONOMICS","J ACCOUNT ECON","ELSEVIER","0165-4101","1879-1980","BUSINESS, FINANCE","SSCI","16,129","5.4","1.77","11.11"%," 20/233 ","9.6","Q1","5.2","2.2"," 17/233 ","Q1","92.92","0.011","2.323","5.914","91.6","Q1","Q1","47","100"%,"14.6","10.7","47",
"Journal of International Financial Markets Institutions & Money","J INT FINANC MARK I","ELSEVIER","1042-4431","1873-0612","BUSINESS, FINANCE","SSCI","5,154","5.4","1.51","19.41"%," 20/233 ","5.3","Q1","5","1.4"," 24/233 ","Q1","89.91","0.004","0.959","0.955","91.6","Q1","Q1","133","99.25"%,"4.9","8.6","132",
"Journal of Management Science and Engineering","J MANAGE SCI ENG","KEAI PUBLISHING LTD","2096-2320","2589-5532","BUSINESS, FINANCE","ESCI","566","5.4","1.49","94.9"%," 20/233 ","N/A","N/A","5.2","1.1"," 25/233 ","Q1","89.48","0.001","0.179","N/A","91.6","Q1","N/A","32","96.88"%,"2.5","7.6","31",
"Sustainability Accounting Management and Policy Journal","SUSTAIN ACCOUNT MANA","EMERALD GROUP PUBLISHING LTD","2040-8021","2040-803X","BUSINESS, FINANCE","SSCI","2,105","5.2","1.2","15.38"%," 23/233 ","5.9","Q1","4.2","1.2"," 37/233 ","Q1","84.33","0.002","0.345","0.822","90.3","Q1","Q2","66","89.39"%,"3.9","7","59",
"Annual Review of Financial Economics","ANNU REV FINANC ECON","ANNUAL REVIEWS","1941-1367","1941-1375","BUSINESS, FINANCE","SSCI","1,453","5","1.15","39.73"%," 24/233 ","5.8","Q1","4.8","0.6"," 40/233 ","Q1","83.05","0.004","0.774","4.728","89.9","Q1","Q1","31","0"%,"8.4","5.6","0",
"JOURNAL OF ACCOUNTING RESEARCH","J ACCOUNT RES","WILEY","0021-8456","1475-679X","BUSINESS, FINANCE","SSCI","12,115","4.9","1.43","26.67"%," 25/233 ","7.2","Q1","4.6","1.3"," 26/233 ","Q1","89.06","0.008","1.766","5.164","89.5","Q1","Q1","44","97.73"%,"16.2","10.5","43",
"International Review of Economics & Finance","INT REV ECON FINANC","ELSEVIER","1059-0560","1873-8036","BUSINESS, FINANCE","SSCI","7,677","4.8","1.39","6.49"%," 26/233 ","4.2","Q1","4.5","1.3"," 28/233 ","Q1","88.20","0.007","1.569","0.75","89.1","Q1","Q2","391","99.49"%,"3.5","8.9","389",
"Pacific-Basin Finance Journal","PAC-BASIN FINANC J","ELSEVIER","0927-538X","1879-0585","BUSINESS, FINANCE","SSCI","5,627","4.8","1.37","6.24"%," 26/233 ","4.4","Q1","4.3","1.2"," 31/233 ","Q1","86.91","0.005","1.045","0.731","89.1","Q1","Q2","258","100"%,"4","9.8","258",
"REVIEW OF ACCOUNTING STUDIES","REV ACCOUNT STUD","SPRINGER","1380-6653","1573-7136","BUSINESS, FINANCE","SSCI","5,568","4.8","1.29","34.78"%," 26/233 ","6.2","Q1","4.6","0.9"," 33/233 ","Q1","86.05","0.008","1.776","3.288","89.1","Q1","Q1","70","100"%,"8.5","12.3","70",
"Accounting Auditing & Accountability Journal","ACCOUNT AUDIT ACCOUN","EMERALD GROUP PUBLISHING LTD","0951-3574","1758-4205","BUSINESS, FINANCE","SSCI","7,853","4.6","1.2","23.63"%," 29/233 ","5.7","Q1","3.8","0.7"," 37/233 ","Q1","84.33","0.004","0.972","1.093","87.8","Q1","Q1","94","94.68"%,"8.4","10.2","89",
"Accounting in Europe","ACCOUNT EUR","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","1744-9480","1744-9499","BUSINESS, FINANCE","ESCI","515","4.6","0.93","23.4"%," 29/233 ","3","Q2","4","0.7"," 54/233 ","Q1","77.04","0","0.079","0.597","87.8","Q1","Q2","20","100"%,"6.5","9.6","20",
"CORPORATE GOVERNANCE-AN INTERNATIONAL REVIEW","CORP GOV-OXFORD","WILEY","0964-8410","1467-8683","BUSINESS, FINANCE","SSCI","5,546","4.6","0.89","27.13"%," 29/233 ","6.3","Q1","4.3","0.9"," 58/233 ","Q1","75.32","0.002","0.419","1.432","87.8","Q1","Q1","42","100"%,"12.3","12","42",
"ACCOUNTING REVIEW","ACCOUNT REV","AMER ACCOUNTING ASSOC","0001-4826","1558-7967","BUSINESS, FINANCE","SSCI","19,372","4.4","1.38","0"%," 32/233 ","6.6","Q1","4.1","1"," 30/233 ","Q1","87.34","0.014","3.002","3.418","86.5","Q1","Q1","123","100"%,"12.5","12.2","123",
"Journal of Behavioral and Experimental Finance","J BEHAV EXP FINANC","ELSEVIER","2214-6350","2214-6369","BUSINESS, FINANCE","SSCI","2,890","4.3","1.75","17.95"%," 33/233 ","5.8","Q1","4.1","1.6"," 18/233 ","Q1","92.49","0.005","1.073","1.453","86.1","Q1","Q1","63","95.24"%,"3.6","8.7","60",
"JOURNAL OF MONETARY ECONOMICS","J MONETARY ECON","ELSEVIER","0304-3932","1873-1295","BUSINESS, FINANCE","SSCI","11,211","4.3","1.32","14.13"%," 33/233 ","5.3","Q1","4.1","1"," 32/233 ","Q1","86.48","0.019","4.231","5.5","86.1","Q1","Q1","74","100"%,"16","8.2","74",
"Management Accounting Research","MANAGE ACCOUNT RES","ELSEVIER","1044-5005","1096-1224","BUSINESS, FINANCE","SSCI","2,430","4.2","0.99","19.57"%," 35/233 ","4.5","Q1","3.9","1.5"," 50/233 ","Q1","78.76","0.001","0.183","1.261","85.2","Q1","Q1","14","100"%,"12.6","13.9","14",
"International Journal of Accounting Information Systems","INT J ACCOUNT INF SY","ELSEVIER","1467-0895","1873-4723","BUSINESS, FINANCE","SSCI","1,176","4.1","1.01","24.64"%," 36/233 ","5.4","Q1","3.7","0.7"," 48/233 ","Q1","79.61","0.001","0.169","0.936","84.8","Q1","Q1","25","100"%,"6.5","8.9","25",
"Journal of Applied Accounting Research","J APPL ACCOUNT RES","EMERALD GROUP PUBLISHING LTD","0967-5426","1758-8855","BUSINESS, FINANCE","ESCI","1,289","3.9","0.91","14.45"%," 37/233 ","4","Q1","3.4","0.6"," 56/233 ","Q1","76.18","0.001","0.185","0.455","84.3","Q1","Q3","65","95.38"%,"4","8.9","62",
"North American Journal of Economics and Finance","N AM J ECON FINANC","ELSEVIER SCIENCE INC","1062-9408","1879-0860","BUSINESS, FINANCE","SSCI","4,212","3.8","1.09","6.81"%," 38/233 ","3.4","Q2","3.6","1"," 44/233 ","Q1","81.33","0.005","0.998","0.588","83.9","Q1","Q2","148","99.32"%,"3.4","7.8","147",
"Journal of Sustainable Finance & Investment","J SUSTAIN FINANC INV","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","2043-0795","2043-0809","BUSINESS, FINANCE","ESCI","1,838","3.8","0.86","15.46"%," 38/233 ","4.5","Q1","3.6","1.1"," 63/233 ","Q2","73.18","0.002","0.365","0.668","83.9","Q1","Q2","7","100"%,"3.4","5.3","7",
