,ISSN,Field,Journal Title,Publisher Name,Scopus,Web of Science™,AJG 2021,AJG 2018,AJG 2015,ABS 2010,Journal Citation Reports™ rank,SNIPrank,SJRrank,CiteScore rank,Journal name,JCR Abbreviation,ISSN.y,Category,Total Citations,2021 JIF,2021 JCI,% of OA Gold,JIF Rank,5 Year JIF,5 Year JIF Quartile,JIF Without Self Cites,Immediacy Index,JCI Rank,JCI Quartile,JCI Percentile,Eigenfactor,Normalized Eigenfactor,Article Influence Score,JIF Percentile,JIF Quartile,AIS Quartile,Citable Items,% of Articles in Citable items,Cited Half-Life,Citing Half-Life,Total Articles,eISSN,ISSN.x,Full Name
1040,1744-2656,PUB SEC,Evidence and Policy,The Policy Press,scopus,WoS,2,1,1,,20.0,32.0,30.0,27.0,Evidence & Policy,EVID POLICY,1744-2648,"SOCIAL SCIENCES, INTERDISCIPLINARY - SSCI",889,2.595,1.29,19.3%,39/112,2.424,Q2,2.297,1.375,49/264,Q1,81.63,0.001,0.231,0.687,65.63,Q2,Q3,40.0,92.5%,5.8,9.2,37.0,,,Public Sector
1041,1365-2524,PUB SEC,Health and Social Care in the Community,Wiley-Blackwell,scopus,WoS,2,1,,,16.0,15.0,21.0,13.0,HEALTH & SOCIAL CARE IN THE COMMUNITY,HEALTH SOC CARE COMM,0966-0410,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH - SSCI",5336,2.395,0.79,18.76%,118/182,2.954,Q3,2.193,0.353,151/392,Q2,61.61,0.007,1.491,0.71,35.44,Q3,Q3,428.0,89.02%,4.6,6.8,381.0,,,Public Sector
1042,1550-5030,PUB SEC,Health Care Management Review,Wolters Kluwer Health,scopus,WoS,2,2,2,,14.0,12.0,14.0,17.0,HEALTH CARE MANAGEMENT REVIEW,HEALTH CARE MANAGE R,0361-6274,HEALTH POLICY & SERVICES - SSCI,1865,3.097,1.22,6.03%,38/88,3.169,Q3,2.958,1.227,16/114,Q1,86.4,0.001,0.293,0.834,57.39,Q2,Q3,44.0,93.18%,9.4,10.4,41.0,,,Public Sector
1043,1572-9389,PUB SEC,Health Care Management Science,Springer Nature,scopus,WoS,2,1,1,1.0,19.0,14.0,22.0,19.0,Health Care Management Science,HEALTH CARE MANAG SC,1386-9620,HEALTH POLICY & SERVICES - SSCI,1833,3.979,1.35,13.61%,18/88,3.438,Q2,3.758,0.731,10/114,Q1,91.67,0.001,0.299,0.722,80.11,Q1,Q3,52.0,98.08%,7.6,7.9,51.0,,,Public Sector
1044,1872-6054,PUB SEC,Health Policy,Elsevier,scopus,WoS,2,2,2,,11.0,21.0,16.0,15.0,HEALTH POLICY,HEALTH POLICY,0168-8510,HEALTH CARE SCIENCES & SERVICES - SCIE,9325,3.255,1.01,33.59%,47/109,3.549,Q2,3.003,0.902,39/159,Q1,75.79,0.008,1.623,0.972,57.34,Q2,Q2,184.0,90.22%,8.8,6.4,166.0,,,Public Sector
1045,2047-0908,PUB SEC,International Journal of Emergency Services,Emerald,scopus,,2,,,,,,,,International Journal of Emergency Services,INT J EMERG SERV,2047-0894,"SOCIAL SCIENCES, INTERDISCIPLINARY - ESCI",138,,0.42,4.6%,,,,,,141/264,Q3,46.78,0.0,0.041,0.176,,,Q2,26.0,92.31%,4.8,7.3,24.0,,,Public Sector
1046,1532-4265,PUB SEC,International Journal of Public Administration,Taylor & Francis,scopus,,2,2,2,,,42.0,37.0,41.0,INTERNATIONAL JOURNAL OF PUBLIC ADMINISTRATION,INT J PUBLIC ADMIN,0190-0692,PUBLIC ADMINISTRATION - ESCI,2554,,0.76,7.19%,,,,,,40/85,Q2,53.53,0.003,0.545,0.488,,,Q1,208.0,98.08%,6.4,10.3,204.0,,,Public Sector
1047,1758-1060,PUB SEC,Journal of Health Services Research and Policy,SAGE,scopus,WoS,2,1,1,1.0,15.0,24.0,26.0,22.0,Journal of Health Services Research & Policy,J HEALTH SERV RES PO,1355-8196,HEALTH POLICY & SERVICES - SSCI,2597,2.3,0.73,26.73%,59/88,2.971,Q3,2.288,0.476,63/114,Q3,45.18,0.001,0.305,0.855,33.52,Q3,Q3,21.0,90.48%,13.4,6.1,19.0,,,Public Sector
1048,1743-9388,PUB SEC,Local Government Studies,Taylor & Francis,scopus,WoS,2,2,2,2.0,24.0,23.0,27.0,23.0,LOCAL GOVERNMENT STUDIES,LOCAL GOV STUD,0300-3930,POLITICAL SCIENCE - SSCI,1614,2.059,0.82,19.29%,88/188,2.791,Q2,1.8,0.403,135/307,Q2,56.19,0.002,0.423,0.76,53.46,Q2,Q3,62.0,98.39%,6.2,7.9,61.0,,,Public Sector
1049,2398-4929,PUB SEC,Perspectives on Public Management & Governance,Public Management Research Association,,,2,,,,,,43.0,,Perspectives on Public Management and Governance,PERSPECT PUBLIC MAN,2398-4910,PUBLIC ADMINISTRATION - ESCI,311,,1.57,14.29%,,,,,,12/85,Q1,86.47,0.001,0.239,1.746,,,Q1,30.0,96.67%,2.8,12.4,29.0,,,Public Sector
1050,1758-695X,PUB SEC,Policing,Emerald,scopus,WoS,2,2,2,2.0,30.0,30.0,29.0,35.0,POLICING-AN INTERNATIONAL JOURNAL OF POLICE STRATEGIES & MANAGEMENT,POLICING,1363-951X,CRIMINOLOGY & PENOLOGY - SSCI,2093,1.932,0.76,0.43%,36/69,2.332,Q3,1.733,0.419,52/111,Q2,53.6,0.002,0.429,0.659,48.55,Q3,Q3,74.0,93.24%,8.4,9.1,69.0,,,Public Sector
1051,1470-1006,PUB SEC,Policy Studies,Taylor & Francis,scopus,WoS,2,2,2,2.0,28.0,33.0,35.0,32.0,Policy Studies,POLICY STUD-UK,0144-2872,PUBLIC ADMINISTRATION - SSCI,1170,2.152,0.73,17.75%,33/49,2.168,Q4,2.098,1.26,41/85,Q2,52.35,0.001,0.305,0.764,33.67,Q3,Q3,77.0,100%,7.1,9.1,77.0,,,Public Sector
1052,1099-162X,PUB SEC,Public Administration and Development,Wiley-Blackwell,scopus,WoS,2,2,2,2.0,26.0,25.0,28.0,26.0,PUBLIC ADMINISTRATION AND DEVELOPMENT,PUBLIC ADMIN DEVELOP,0271-2075,DEVELOPMENT STUDIES - SSCI,1089,1.9,0.65,10.29%,31/42,2.327,Q3,1.7,0.321,30/60,Q2,50.83,0.001,0.142,0.67,27.38,Q3,Q3,28.0,96.43%,10.7,10.0,27.0,,,Public Sector
1053,1558-0989,PUB SEC,Public Integrity,Taylor & Francis,scopus,,2,,,,,,,,Public Integrity,PUBLIC INTEGR,1099-9922,PUBLIC ADMINISTRATION - ESCI,488,,0.56,9.85%,,,,,,49/85,Q3,42.94,0.001,0.169,0.473,,,Q1,56.0,96.43%,4.0,8.6,54.0,,,Public Sector
1054,1467-9302,PUB SEC,Public Money and Management,Taylor & Francis,scopus,WoS,2,2,2,2.0,31.0,37.0,32.0,38.0,PUBLIC MONEY & MANAGEMENT,PUBLIC MONEY MANAGE,0954-0962,PUBLIC ADMINISTRATION - SSCI,2336,3.04,0.89,18.77%,19/49,2.901,Q2,2.437,0.709,34/85,Q2,60.59,0.002,0.441,0.549,62.24,Q2,Q4,110.0,99.09%,5.7,8.6,109.0,,,Public Sector
1055,1557-9271,PUB SEC,Public Performance & Management Review,Taylor & Francis,scopus,WoS,2,1,1,,27.0,28.0,15.0,25.0,Public Performance & Management Review,PUBLIC PERFORM MANAG,1530-9576,PUBLIC ADMINISTRATION - SSCI,1558,2.806,0.98,9.29%,23/49,2.884,Q3,2.468,0.545,30/85,Q2,65.29,0.002,0.329,0.72,54.08,Q2,Q3,44.0,100%,6.6,11.1,44.0,,,Public Sector
1056,1945-7421,PUB SEC,Public Personnel Management,SAGE,scopus,WoS,2,,,,32.0,41.0,,33.0,PUBLIC PERSONNEL MANAGEMENT,PUBLIC PERS MANAGE,0091-0260,INDUSTRIAL RELATIONS & LABOR - SSCI,1206,2.6,1.0,3.66%,14/30,2.906,Q2,2.514,0.083,16/51,Q2,69.61,0.001,0.197,0.754,55.0,Q2,Q3,12.0,100%,8.3,10.8,12.0,,,Public Sector
1057,1749-4192,PUB SEC,Public Policy and Administration,SAGE,scopus,WoS,2,2,2,2.0,,26.0,31.0,31.0,Public Policy and Administration,PUBLIC POLICY ADMIN,0952-0767,PUBLIC ADMINISTRATION - SSCI,911,2.909,1.08,19.42%,22/49,2.792,Q3,2.844,2.308,24/85,Q2,72.35,0.001,0.249,0.938,56.12,Q2,Q2,26.0,96.15%,6.3,10.5,25.0,,,Public Sector
1058,1552-759X,PUB SEC,Review of Public Personnel Administration,SAGE,scopus,WoS,2,1,1,1.0,17.0,19.0,12.0,18.0,Review of Public Personnel Administration,REV PUBLIC PERS ADM,0734-371X,PUBLIC ADMINISTRATION - SSCI,1572,4.072,1.67,13.39%,11/49,4.958,Q1,3.506,1.227,10/85,Q1,88.82,0.002,0.383,1.314,78.57,Q1,Q2,44.0,100%,6.3,12.7,44.0,,,Public Sector
1059,1467-9515,PUB SEC,Social Policy and Administration,Wiley-Blackwell,scopus,WoS,2,2,2,3.0,22.0,16.0,20.0,21.0,SOCIAL POLICY & ADMINISTRATION,SOC POLICY ADMIN,0144-5596,DEVELOPMENT STUDIES - SSCI,2370,2.283,1.05,29.43%,24/42,2.781,Q2,2.063,1.23,13/60,Q1,79.17,0.003,0.744,0.938,44.05,Q3,Q2,74.0,100%,6.1,8.8,74.0,,,Public Sector
1060,1758-1044,PUB SEC,Health Services Management Research,SAGE,scopus,,1,1,1,1.0,,44.0,39.0,40.0,Health Services Management Research,HEALTH SERV MANAG RE,0951-4848,HEALTH POLICY & SERVICES - ESCI,493,,0.39,10.47%,,,,,,102/114,Q4,10.96,0.0,0.085,0.34,,,Q2,24.0,87.5%,9.5,10.2,21.0,,,Public Sector
