Field,Journal Title,AJG 2024,AJG 2021,Citescore rank,SNIP rank,SJR rank,JIF rank,SDG content (2017-21),International co-authorship (2017-21),Academic-non-academic collaborations (2017-21),Citations policy docs (2017-21),ISSN,Publisher,JCR_2021_JIF,JCR_2021_JCI,JCR_2021_JIF_Quartile,JCR_2021_Total_Citations,Eigenfactor,Article_Influence_Score,JCR_Category,JCR_2023_JIF,JCR_2023_JCI,JCR_2023_JIF_Quartile,JCR_2023_Total_Citations,JCR_2023_Eigenfactor,JCR_2023_AIS,JCR_2023_Category
ACCOUNT,Journal of Accounting and Public Policy,3,3,16,14,12,14,34%,39%,6%,0.398,18732070,Elsevier,3.629,1.21,Q2,3457,0.002,1.122,"BUSINESS, FINANCE - SSCI",3.3,1.14,Q1,3677,0.002,1.009,"BUSINESS, FINANCE"
ACCOUNT,Journal of Accounting Literature,3,3,10,4,15,6%,33%,3%,0.353,,,,,,,,,,,1.1,0.29,Q3,887,0,1.054,"BUSINESS, FINANCE"
ACCOUNT,"Journal of Accounting, Auditing and Finance",3,3,40,26,29,23%,46%,4%,0.042,,0148558X,SAGE,,0.64,,1313,0.001,0.607,"BUSINESS, FINANCE - ESCI",1.3,0.46,Q3,1482,0.001,0.514,"BUSINESS, FINANCE"
ACCOUNT,Journal of Business Finance and Accounting,3,3,26,17,17,23,28%,51%,9%,0.136,14685957,Wiley-Blackwell,2.709,0.89,Q3,3537,0.002,0.842,"BUSINESS, FINANCE - SSCI",2.2,0.68,Q2,3499,0.002,0.75,"BUSINESS, FINANCE"
ACCOUNT,Journal of Financial Reporting,3,,,,,,,,,,,,,,,,,,,2.3,0.6,Q2,165,0.001,1.208,"BUSINESS, FINANCE"
ACCOUNT,"Journal of International Accounting, Auditing and Taxation",3,3,29,27,37,45%,50%,9%,0.076,,,,,,,,,,,,,,,,,
ACCOUNT,Journal of the American Taxation Association,3,3,37,38,9,59%,21%,6%,0.294,,15588017,American Accounting Association,,0.74,,572,0.001,1.642,"BUSINESS, FINANCE - ESCI",1.3,0.48,Q3,619,0,0.965,"BUSINESS, FINANCE"
ACCOUNT,Management Accounting Research,3,3,3,6,11,4,19%,55%,7%,0.035,10961224,Elsevier,4.344,1.04,Q1,2945,0.001,1.263,"BUSINESS, FINANCE - SSCI",4.2,0.99,Q1,2430,0.001,1.261,"BUSINESS, FINANCE"
ACCOUNT,Accounting and Finance,2,2,28,31,33,25,36%,38%,12%,0.101,1467629X,Wiley-Blackwell,2.473,0.92,Q3,2884,0.002,0.458,"BUSINESS, FINANCE - SSCI",3.1,0.69,Q1,3864,0.004,0.607,"BUSINESS, FINANCE"
ACCOUNT,Accounting and the Public Interest,2,2,64,68,62,53%,16%,7%,0.000,,,,,,,,,,,,,,,,,
ACCOUNT,Accounting in Europe,2,2,39,48,40,18%,54%,9%,0.100,,17449499,Taylor & Francis,,0.73,,388,0.0,0.443,"BUSINESS, FINANCE - ESCI",4.6,0.93,Q1,515,0,0.597,"BUSINESS, FINANCE"
ACCOUNT,Accounting Research Journal,2,2,60,61,56,50%,38%,6%,0.054,,10309616,Emerald,,0.68,,552,0.0,0.258,"BUSINESS, FINANCE - ESCI",2.4,0.63,Q2,687,0.001,0.346,"BUSINESS, FINANCE"
ACCOUNT,"Accounting, Economics and Law: A Convivium",2,2,61,55,63,50%,44%,15%,0.120,,21522820,Walter de Gruyter,,0.39,,169,0.0,0.105,"BUSINESS, FINANCE - ESCI",,,,,,,
ACCOUNT,Advances in Accounting,2,2,50,50,50,17%,14%,4%,0.021,,10465715,Elsevier,,0.57,,915,0.001,0.337,"BUSINESS, FINANCE - ESCI",1.2,0.42,Q3,909,0,0.436,"BUSINESS, FINANCE"
ACCOUNT,Advances in Accounting Behavioral Research,2,2,71,72,73,14%,4%,0%,0.034,,,,,,,,,,,,,,,,,
ACCOUNT,Advances in Management Accounting,2,2,58,62,61,33%,19%,8%,0.026,,,,,,,,,,,,,,,,,
ACCOUNT,Advances in Taxation,2,2,67,69,76,79%,11%,2%,0.262,,,,,,,,,,,,,,,,,
ACCOUNT,Asia-Pacific Journal of Accounting and Economics,2,2,59,58,64,31,39%,39%,9%,0.011,21642257,Taylor & Francis,1.137,0.37,Q4,545,0.0,0.228,"BUSINESS, FINANCE - SSCI",1.4,0.33,Q3,778,0.001,0.279,"BUSINESS, FINANCE"
ACCOUNT,Asian Review of Accounting,2,2,49,42,55,55%,39%,7%,0.022,,17588863,Emerald,,0.54,,540,0.0,0.261,"BUSINESS, FINANCE - ESCI",2.3,0.59,Q2,827,0,0.293,"BUSINESS, FINANCE"
