Field,Journal Title,AJG 2024,AJG 2021,Citescore rank,SNIP rank,SJR rank,JIF rank,SDG content (2017-21),International co-authorship (2017-21),Academic-non-academic collaborations (2017-21),Citations policy docs (2017-21),ISSN,Publisher,JCR_2021_JIF,JCR_2021_JCI,JCR_2021_JIF_Quartile,JCR_2021_Total_Citations,Eigenfactor,Article_Influence_Score,JCR_Category,JCR_2023_JIF,JCR_2023_JCI,JCR_2023_JIF_Quartile,JCR_2023_Total_Citations,JCR_2023_Eigenfactor,JCR_2023_AIS,JCR_2023_Category
ECON,China and World Economy,1,1,141,163,164,145,92%,34%,23%,0.728,1749124X,Wiley-Blackwell,2.451,0.89,Q2,978,0.001,0.566,ECONOMICS - SSCI,2.9,0.98,Q1,1234,0.001,0.644,ECONOMICS
ECON,China Economic Journal,1,1,216,192,227,90%,22%,19%,0.563,,17538971,Taylor & Francis,,0.42,,333,0.0,0.425,ECONOMICS - ESCI,3.7,0.86,Q1,527,0,0.536,ECONOMICS
ECON,Cogent Economics and Finance,1,1,238,238,277,71%,25%,12%,0.202,,23322039,Taylor & Francis,,0.56,,1295,0.002,0.309,ECONOMICS - ESCI,2,0.65,Q2,2704,0.002,0.288,ECONOMICS
ECON,Comparative Economic Studies,1,1,240,231,270,71%,51%,37%,1.346,,08887233,Springer Nature,,0.37,,544,0.001,0.422,ECONOMICS - ESCI,1.5,0.38,Q2,630,0,0.375,ECONOMICS
ECON,Computational Economics,1,1,157,208,241,166,27%,35%,19%,0.223,15729974,Springer Nature,1.741,0.6,Q3,1648,0.002,0.342,ECONOMICS - SSCI,1.9,0.57,Q2,1853,0.002,0.353,ECONOMICS
ECON,Constitutional Political Economy,1,1,290,273,275,44%,37%,16%,0.304,,15729966,Springer Nature,,1.0,,1202,0.0,0.311,LAW - ESCI,,,,,,,
ECON,Contemporary Economics,1,196,210,307,67%,33%,14%,0.024,,,,,,,,,,,,2.4,0.6,Q2,469,0,0.218,ECONOMICS
ECON,Credit and Capital Markets,1,1,332,333,331,59%,21%,14%,0.500,,,,,,,,,,,,,,,,,
ECON,De Economist,1,1,278,304,288,218,60%,35%,47%,2.485,15729982,Springer Nature,1.533,0.4,Q3,502,0.0,0.506,ECONOMICS - SSCI,,,,,,,
ECON,Decisions in Economics and Finance,1,1,280,321,312,14%,41%,15%,0.007,,11296569,Springer Nature,,0.35,,173,0.0,0.262,"SOCIAL SCIENCES, MATHEMATICAL METHODS - ESCI",,,,,,,
ECON,Dynamic Games and Applications,1,1,111,91,191,163,9%,37%,25%,0.438,21530793,Springer Nature,1.296,0.45,Q4,525,0.001,0.581,"MATHEMATICS, INTERDISCIPLINARY APPLICATIONS - SCIE",,,,,,,
ECON,Eastern Economic Journal,1,1,284,309,301,51%,18%,15%,0.686,,19394632,Springer Nature,,0.27,,556,0.001,0.332,ECONOMICS - ESCI,1.1,0.32,Q3,597,0,0.397,ECONOMICS
ECON,Eastern European Economics,1,1,211,226,268,198,67%,37%,24%,0.496,15579298,Taylor & Francis,1.365,0.4,Q3,424,0.0,0.288,ECONOMICS - SSCI,1.3,0.42,Q3,511,0,0.348,ECONOMICS
ECON,Econometrics,1,1,214,168,150,20%,50%,24%,1.113,,22251146,Multidisciplinary Digital Publishing Insti- tute (MDPI),,0.51,,795,0.002,0.99,ECONOMICS - ESCI,1.1,0.37,Q3,681,0.001,0.652,ECONOMICS
ECON,EconomiA,1,257,264,266,69%,22%,28%,0.908,,,,,,,,,,,,,,,,,,
ECON,Economia Agraria y Recursos Naturales – Agricultural and Resource,1,300,297,294,68%,18%,31%,0.265,,,,,,,,,,,,,,,,,,
ECON,Economic Analysis and Policy,1,1,93,114,146,56,75%,42%,19%,0.617,03135926,Elsevier,4.444,1.4,Q1,2092,0.002,0.604,ECONOMICS - SSCI,7.9,2.7,Q1,6186,0.006,1.057,ECONOMICS
ECON,Economic and Social Review,1,1,286,246,272,215,63%,31%,34%,0.000,00129984,Economic and Social Studies,0.72,0.33,Q4,386,0.0,0.369,ECONOMICS - SSCI,0.2,0.23,Q4,335,0,0.434,ECONOMICS
ECON,Economic Change and Restructuring,1,1,119,108,207,69%,37%,15%,0.236,,,,,,,,,,,4,1.13,Q1,1389,0.001,0.562,ECONOMICS
ECON,Economic Issues,1,1,,,,,,,,,13637029,Nottingham Trent University,,0.26,,130,0.0,0.211,ECONOMICS - ESCI,0.8,0.16,Q3,130,0,0.202,ECONOMICS
ECON,Economic Notes,1,1,276,284,299,63%,30%,24%,3.816,,14680300,Wiley-Blackwell,,0.45,,333,0.0,0.294,ECONOMICS - ESCI,0.8,0.41,Q3,287,0,0.276,ECONOMICS
ECON,Economic Research-Ekonomska Istraživanja,1,110,129,208,106,59%,35%,17%,0.242,,,,,,,,,,,,,,,,,
ECON,Economics and Business Letters,1,1,322,330,325,53%,32%,12%,0.124,,22544380,Universidad de Oviedo,,0.23,,151,0.0,0.112,ECONOMICS - ESCI,0.9,0.27,Q3,192,0,0.139,ECONOMICS
ECON,Economics and Sociology,1,1,95,149,215,66%,39%,19%,0.051,,23063459,Centre of Sociological Research,,0.97,,1126,0.001,0.273,ECONOMICS - ESCI,2.1,0.79,Q2,915,0.001,0.25,ECONOMICS
ECON,Economics of Energy and Environmental Policy,1,1,58,200,109,101,73%,48%,32%,1.202,21605890,International Association for Energy Eco- nomics,1.8,0.51,Q3,405,0.001,0.863,ECONOMICS - SSCI,1.8,0.41,Q2,394,0.001,0.673,ECONOMICS
ECON,Economics of Governance,1,1,275,272,267,211,52%,30%,12%,0.584,14358131,Springer Nature,0.781,0.25,Q4,495,0.0,0.291,ECONOMICS - SSCI,1.2,0.28,Q3,468,0,0.303,ECONOMICS
ECON,Economics of Transportation,1,1,81,98,107,71,48%,48%,28%,2.542,22120130,Elsevier,2.829,0.71,Q2,400,0.001,0.778,ECONOMICS - SSCI,2.2,0.63,Q2,438,0.001,0.893,ECONOMICS
ECON,Economies,1,1,214,199,236,78%,35%,16%,0.388,,22277099,Multidisciplinary Digital Publishing Insti- tute (MDPI),,0.69,,962,0.001,0.317,ECONOMICS - ESCI,2.1,0.77,Q2,2220,0.002,0.311,ECONOMICS
ECON,Economists' Voice,1,1,329,332,333,66%,33%,25%,0.509,,,,,,,,,,,,,,,,,
ECON,Education Economics,1,1,196,174,214,64%,30%,31%,2.520,,14695782,Taylor & Francis,,0.76,,992,0.001,0.691,EDUCATION & EDUCATIONAL RESEARCH - ESCI,,,,,,,
ECON,Ekonomicheskaya Politika / Economic Policy,1,306,302,284,78%,11%,32%,0.021,,,,,,,,,,,,,,,,,,
ECON,Ekonomista,1,334,334,332,55%,5%,9%,0.000,,,,,,,,,,,,0.2,0.03,Q4,68,0,0.03,ECONOMICS
ECON,Empirica,1,1,216,228,259,196,67%,46%,33%,1.064,15736911,Springer Nature,1.024,0.45,Q4,578,0.0,0.28,ECONOMICS - SSCI,1.9,0.46,Q2,541,0,0.3,ECONOMICS
ECON,Environmental Economics and Policy Studies,1,1,124,256,181,98%,44%,30%,1.167,,1867383X,Springer Nature,,0.67,,615,0.001,0.373,ECONOMICS - ESCI,2.3,0.63,Q2,747,0.001,0.46,ECONOMICS
ECON,Eurasian Economic Review,1,1,178,189,234,70%,33%,16%,0.484,,2147429X,Springer Nature,,1.16,,417,0.0,0.408,ECONOMICS - ESCI,2.5,0.91,Q2,418,0,0.394,ECONOMICS
ECON,European Journal of Economics and Economic Policies: Intervention,1,1,302,237,195,58%,65%,19%,0.609,,,,,,,,,,,,,,,,,
ECON,European Journal of Law and Economics,1,1,205,242,239,219,41%,37%,28%,0.759,15729990,Springer Nature,1.266,0.89,Q4,646,0.001,0.416,ECONOMICS - SSCI,1,0.89,Q3,642,0.001,0.467,ECONOMICS
ECON,FinanzArchiv,1,1,304,303,281,240,64%,24%,19%,0.962,16140974,Mohr Siebeck GmbH and Co. KG,0.393,0.16,Q4,249,0.0,0.26,"BUSINESS, FINANCE - SSCI",,,,,,,
ECON,Forum for Health Economics and Policy,1,1,277,311,238,46%,19%,35%,1.077,,,,,,,,,,,,,,,,,
ECON,Foundations and Trends in Econometrics,1,1,9,28,102,17%,33%,0%,2.000,,,,,,,,,,,,,,,,,
ECON,Games,1,1,263,293,256,16%,50%,18%,0.098,,,,,,,,,,,0.6,0.29,Q4,485,0.001,N/A,ECONOMICS
ECON,Global Economic Review,1,1,288,292,274,216,73%,40%,14%,0.243,17443873,Taylor & Francis,1.843,0.44,Q3,386,0.0,0.265,ECONOMICS - SSCI,1.9,0.62,Q2,451,0,0.34,ECONOMICS
ECON,Global Economy Journal,1,1,319,328,320,68%,28%,13%,0.119,,15535304,Walter de Gruyter,,0.16,,216,0.0,0.083,ECONOMICS - ESCI,1,0.21,Q3,233,0,0.081,ECONOMICS
ECON,Global Journal of Emerging Market Economies,1,309,318,330,91%,34%,20%,0.379,,,,,,,,,,,,,,,,,,
ECON,Hacienda Pública Española / Review of Public Economics,1,325,320,322,245,57%,13%,21%,0.183,,,,,,,,,,,,,,,,,
ECON,Interdisciplinary Journal of Economics and Business Law,1,1,,,,,,,,,,,,,,,,,,,,,,,,
ECON,Intereconomics,1,1,282,268,286,52%,18%,17%,2.219,,,,,,,,,,,,,,,,,
ECON,International Advances in Economic Research,1,1,321,319,327,55%,29%,8%,0.189,,10830898,Springer Nature,,0.18,,435,0.0,0.148,ECONOMICS - ESCI,1.1,0.29,Q3,453,0,0.212,ECONOMICS
ECON,International Economic Journal,1,1,296,308,310,79%,29%,15%,0.245,,,,,,,,,,,0.9,0.32,Q3,529,0,N/A,ECONOMICS
ECON,International Economics,1,98,134,161,64%,46%,36%,1.270,,,,,,,,,,,,,,,,,,
ECON,International Game Theory Review,1,1,314,295,306,11%,34%,23%,0.023,,17936675,World Scientific,,0.15,,297,0.0,0.16,"MATHEMATICS, INTERDISCIPLINARY APPLICATIONS - ESCI",,,,,,,
ECON,International Journal of Computational Economics and Econometrics,1,1,312,331,315,35%,46%,15%,0.040,,17571189,Inderscience Publishers,,0.19,,76,0.0,0.131,ECONOMICS - ESCI,0.4,0.08,Q4,105,0,0.245,ECONOMICS
ECON,International Journal of Ecological Economics and Statistics,1,1,202,326,94%,20%,10%,0.000,,,,,,,,,,,,0.2,0.06,Q4,75,0,0.022,ECONOMICS
ECON,International Journal of Happiness and Development,1,1,,,,,,,,,20492804,Inderscience Publishers,,0.23,,84,0.0,0.111,"SOCIAL SCIENCES, INTERDISCIPLINARY - ESCI",,,,,,,
ECON,International Journal of Political Economy,1,1,240,224,271,67%,19%,6%,1.313,,15580970,Taylor & Francis,,0.44,,298,0.0,0.574,ECONOMICS - ESCI,1,0.35,Q3,387,0,0.383,ECONOMICS
ECON,International Journal of Social Economics,1,1,280,283,243,89%,27%,14%,0.229,,03068293,Emerald,,0.46,,2057,0.002,0.318,ECONOMICS - ESCI,1.9,0.54,Q2,2247,0.001,0.336,ECONOMICS
ECON,International Review of Applied Economics,1,1,215,237,191,78%,31%,12%,0.602,,14653486,Taylor & Francis,,0.5,,1024,0.001,0.388,ECONOMICS - ESCI,1.4,0.53,Q3,1045,0.001,0.476,ECONOMICS
ECON,Jahrbucher fur Nationalokonomie und Statistik,1,1,236,221,203,207,43%,16%,35%,4.993,2366049X,Walter de Gruyter,2.738,0.82,Q2,503,0.001,0.749,ECONOMICS - SSCI,1.1,0.41,Q3,507,0.001,0.881,ECONOMICS
ECON,Japan and the World Economy,1,1,235,257,244,176,55%,24%,24%,0.652,18792006,Elsevier,1.703,0.54,Q3,715,0.001,0.442,ECONOMICS - SSCI,1.3,0.45,Q3,687,0,0.349,ECONOMICS
ECON,Japanese Economic Review,1,1,313,295,311,243,35%,37%,17%,0.331,14685876,Springer Nature,0.776,0.24,Q4,431,0.0,0.311,ECONOMICS - SSCI,1.5,0.36,Q2,430,0.001,0.447,ECONOMICS
ECON,Japanese Political Economy,1,1,65%,38%,4%,0.345,,,,,,,,,,,,,,,,,,,,
ECON,Journal for Labour Market Research,1,1,161,197,157,86%,55%,50%,3.857,,,,,,,,,,,,,,,,,
ECON,Journal of Agricultural & Applied Economics,1,1,198,230,246,48%,17%,27%,0.348,,,,,,,,,,,1.6,0.53,Q2,953,0.001,0.395,ECONOMICS
ECON,Journal of Agricultural and Food Industrial Organization,1,1,327,300,290,46%,41%,33%,0.443,,,,,,,,,,,,,,,,,
ECON,Journal of Air Transport Management,1,1,59,98,31,50,32%,33%,16%,0.443,18732089,Elsevier,5.428,1.25,Q2,6036,0.005,0.759,TRANSPORTATION - SSCI,,,,,,,
ECON,Journal of Applied Economics,1,1,244,252,246,195,68%,37%,19%,0.685,16676726,Taylor & Francis,1.809,0.63,Q3,610,0.0,0.406,ECONOMICS - SSCI,1.4,0.56,Q3,702,0.001,0.409,ECONOMICS
ECON,Journal of Asian Economics,1,1,109,179,144,76,82%,44%,25%,0.850,18737927,Elsevier,2.681,0.88,Q2,1652,0.001,0.517,ECONOMICS - SSCI,2.9,1,Q1,1980,0.001,0.575,ECONOMICS
ECON,Journal of Bioeconomics,1,1,251,229,129,43%,52%,22%,0.862,,,,,,,,,,,,,,,,,
ECON,Journal of Choice Modelling,1,1,141,119,93,77,21%,47%,23%,0.245,17555345,Elsevier,4.164,1.16,Q1,1023,0.002,1.236,ECONOMICS - SSCI,2.8,0.77,Q1,1048,0.002,1.25,ECONOMICS
ECON,Journal of Competition Law & Economics,1,178,218,266,221,15%,42%,32%,1.108,,,,,,,,,,,1.3,0.99,Q3,452,0.001,1.037,ECONOMICS
ECON,Journal of Developing Areas,1,1,,,,,,,,,,,,,,,,,,,,,,,,
ECON,Journal of Econometric Methods,1,1,104,296,252,11%,60%,32%,4.213,,,,,,,,,,,,,,,,,
ECON,Journal of Economic and Administrative Sciences,1,,,,,,,,,,,,,,,,,,,1.8,0.57,Q2,727,0.001,0.261,ECONOMICS
ECON,Journal of Economic and Financial Sciences,1,,,,,,,,,,,,,,,,,,,,,,,,,
ECON,Journal of Economic Asymmetries,1,186,243,209,56%,40%,18%,0.174,,,,,,,,,,,,,,,,,,
ECON,Journal of Economic Cooperation and Development,1,310,329,322,82%,23%,13%,0.000,,,,,,,,,,,,,,,,,,
ECON,Journal of Economic Education,1,1,179,233,229,191,26%,7%,10%,0.200,21524068,Taylor & Francis,1.237,0.49,Q4,1034,0.0,0.299,ECONOMICS - SSCI,1.7,0.52,Q2,1155,0.001,0.545,ECONOMICS
ECON,Journal of Economic Integration,1,1,203,273,265,74%,46%,22%,0.816,,19765525,Sejong University,,0.42,,415,0.0,0.196,ECONOMICS - ESCI,1.2,0.37,Q3,512,0,0.331,ECONOMICS
ECON,Journal of Economic Interaction and Coordination,1,1,191,217,147,157,39%,30%,29%,0.286,18607128,Springer Nature,1.237,0.51,Q4,357,0.001,0.374,ECONOMICS - SSCI,0.8,0.29,Q3,287,0.001,0.606,ECONOMICS
ECON,Journal of Economic Policy Reform,1,1,194,211,117,128,69%,35%,18%,1.000,17487889,Taylor & Francis,2.059,0.79,Q3,627,0.001,0.609,DEVELOPMENT STUDIES - SSCI,3.3,0.78,Q1,605,0.001,0.65,ECONOMICS
ECON,Journal of Gambling Business and Economics,1,1,,,,,,,,,,,,,,,,,,,,,,,,
ECON,Journal of Income Distribution,1,1,,,,,,,,,,,,,,,,,,,,,,,,
ECON,Journal of Industrial and Business Economics,1,1,258,209,154,58%,37%,19%,1.000,,,,,,,,,,,1.5,1.13,Q2,420,0.001,N/A,ECONOMICS
ECON,Journal of Interdisciplinary Economics,1,1,263,311,269,65%,27%,15%,0.130,,02601079,SAGE,,0.24,,113,0.0,0.164,ECONOMICS - ESCI,0.4,0.15,Q4,118,0,0.164,ECONOMICS
ECON,Journal of International Trade and Economic Development,1,1,184,232,182,173,77%,43%,18%,0.472,14699559,Taylor & Francis,2.518,0.71,Q2,1102,0.001,0.348,ECONOMICS - SSCI,2.2,0.69,Q2,1423,0.001,0.397,ECONOMICS
ECON,Journal of Mechanism and Institution Design,1,1,,,,,,,,,,,,,,,,,,,,,,,,
ECON,Journal of Media Economics,1,1,222,297,285,231,17%,27%,21%,0.379,,,,,,,,,,0.4,0.28,Q4,251,0,N/A,ECONOMICS
ECON,Journal of the Asia Pacific Economy,1,1,262,263,204,193,90%,43%,22%,0.618,14699648,Taylor & Francis,1.325,0.52,Q3,841,0.001,0.347,ECONOMICS - SSCI,1.4,0.41,Q3,961,0.001,0.352,ECONOMICS
ECON,Journal of the Economic Science Association,1,1,,,,,,,,,21996784,Springer Nature,,0.52,,376,0.001,1.058,ECONOMICS - ESCI,,,,,,,
ECON,Man and the Economy,1,1,,,,,,,,,,,,,,,,,,,,,,,,
ECON,Metroeconomica,1,1,153,121,182,177,56%,43%,13%,0.299,1467999X,Wiley-Blackwell,1.297,0.49,Q3,595,0.001,0.308,ECONOMICS - SSCI,1,0.36,Q3,810,0.001,0.536,ECONOMICS
ECON,Mineral Economics,1,1,195,244,153,64%,26%,25%,1.481,,21912211,Springer Nature,,0.76,,416,0.0,0.389,ECONOMICS - ESCI,3,0.9,Q1,622,0.001,0.524,ECONOMICS
ECON,Montenegrin Journal of Economics,1,188,249,168,71%,25%,25%,0.016,,,,,,,,,,,,1.2,0.52,Q3,403,0,0.141,ECONOMICS
ECON,National Institute Economic Review,1,1,234,226,205,58%,20%,27%,3.682,,17413036,Cambridge University Press,,0.43,,460,0.001,0.395,ECONOMICS - ESCI,1.2,0.54,Q3,473,0.001,0.584,ECONOMICS
ECON,Natural Resources Journal,1,1,314,305,305,223,63%,8%,3%,0.000,00280739,University of New Mexico School of Law,1.304,0.56,Q4,466,0.0,0.342,ENVIRONMENTAL STUDIES - SSCI,,,,,,,
ECON,NETNOMICS: Economic Research and Electronic Networking,1,1,249,250,192,60%,34%,37%,0.314,,,,,,,,,,,,,,,,,
ECON,New Zealand Economic Papers,1,1,275,269,286,53%,27%,27%,1.315,,,,,,,,,,,0.8,0.58,Q3,192,0,N/A,ECONOMICS
ECON,"Peace Economics, Peace Science and Public Policy",1,1,307,292,307,54%,34%,13%,0.381,,15548597,Walter de Gruyter,,0.33,,233,0.0,0.282,POLITICAL SCIENCE - ESCI,,,,,,,
ECON,Portuguese Economic Journal,1,1,306,317,295,238,67%,36%,20%,0.426,16179838,Springer Nature,1.342,0.41,Q3,307,0.0,0.285,ECONOMICS - SSCI,2.6,0.66,Q1,345,0,0.439,ECONOMICS
ECON,Post-Communist Economies,1,1,205,230,199,174,75%,46%,25%,0.485,14653958,Taylor & Francis,2.126,0.64,Q2,833,0.001,0.37,ECONOMICS - SSCI,2.2,0.71,Q2,813,0.001,0.523,ECONOMICS
ECON,PSL Quarterly Review,1,241,282,312,69%,36%,25%,0.029,,,,,,,,,,,,0.7,0.23,Q3,205,0,0.223,ECONOMICS
ECON,Quantitative Finance and Economics,1,,,,,,,,,,,,,,,,,,,3.2,1.25,Q1,409,0,0.283,"BUSINESS, FINANCE"
ECON,Quarterly Journal of Austrian Economics,1,1,316,299,328,25%,39%,10%,0.109,,,,,,,,,,,,,,,,,
ECON,Research in Economics,1,1,188,227,154,42%,44%,20%,1.689,,10909451,Elsevier,,0.43,,658,0.001,0.742,ECONOMICS - ESCI,1.2,0.34,Q3,600,0.001,0.412,ECONOMICS
ECON,Research in Transportation Economics,1,1,90,156,124,75%,78,35%,24%,0.861,18757979,Elsevier,2.904,0.7,Q2,2617,0.002,0.644,ECONOMICS - SSCI,4.6,1.26,Q1,3003,0.003,0.754,ECONOMICS
ECON,Review of Austrian Economics,1,1,280,265,271,26%,17%,9%,0.418,,15737128,Springer Nature,,0.51,,395,0.0,0.219,EDUCATION & EDUCATIONAL RESEARCH - ESCI,,,,,,,
ECON,Review of Economic Analysis,1,1,333,335,335,67%,36%,12%,0.000,,19733909,Rimini Centre for Economic Analysis,,0.09,,66,0.0,0.07,ECONOMICS - ESCI,0.7,0.26,Q3,91,0,0.13,ECONOMICS
ECON,Review of Economics and Political Science,1,67%,15%,15%,0.167,,,,,,,,,,,,,,,1.7,0.62,Q2,183,0,N/A,ECONOMICS
ECON,Review of Financial Economics,1,1,226,255,246,43%,35%,12%,0.187,,18735924,Wiley-Blackwell,,0.46,,825,0.001,0.388,"BUSINESS, FINANCE - ESCI",1.2,0.37,Q3,722,0,0.305,"BUSINESS, FINANCE"
ECON,Review of Radical Political Economics,1,1,252,204,219,55%,228,31%,9%,0.288,15528502,SAGE,1.0,0.36,Q4,662,0.001,0.425,ECONOMICS - SSCI,1,0.35,Q3,845,0.001,0.576,ECONOMICS
ECON,Russian Journal of Economics,1,227,122,222,76%,27%,30%,1.078,,,,,,,,,,,,,,,,,,
ECON,SERIEs,1,1,252,230,194,69%,189,30%,21%,2.663,18694195,Springer Nature,1.737,0.46,Q3,448,0.0,0.564,ECONOMICS - SSCI,,,,,,,
ECON,South African Journal of Economic and Management Sciences,1,234,279,302,75%,224,16%,10%,0.105,,,,,,,,,,,1.2,0.3,Q3,599,0,0.225,ECONOMICS
ECON,South African Journal of Economics,1,1,164,217,240,88%,168,50%,22%,1.406,18136982,Wiley-Blackwell,0.875,0.46,Q4,720,0.0,0.34,ECONOMICS - SSCI,1.6,0.45,Q2,665,0,0.349,ECONOMICS
ECON,South Asia Economic Journal,1,1,303,316,314,98%,27%,17%,0.338,,,,,,,,,,,,,,,,,
ECON,Statistical Analysis and Data Mining,1,1,164,243,216,12%,159,16%,28%,0.082,19321872,Wiley-Blackwell,1.247,0.34,Q4,719,0.001,0.655,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - SCIE",,,,,,,
ECON,Strategic Behavior and the Environment,1,1,,,,,,,,,,,,,,,,,,,,,,,,
ECON,Studies in Agricultural Economics,1,1,234,274,287,81%,47%,23%,0.202,,,,,,,,,,,,,,,,,
ECON,Studies in Economics and Finance,1,1,258,282,285,46%,37%,17%,0.115,,10867376,Emerald,,0.4,,435,0.0,0.171,"BUSINESS, FINANCE - ESCI",2.3,0.64,Q2,668,0,0.264,"BUSINESS, FINANCE"
ECON,Studies in Microeconomics,1,329,291,334,65%,25%,5%,0.073,,,,,,,,,,,,,,,,,,
ECON,Swiss Journal of Economics and Statistics,1,1,222,271,189,53%,31%,29%,2.647,,,,,,,,,,,,,,,,,
ECON,The Forum for Social Economics,1,1,236,233,304,62%,39%,15%,0.588,,,,,,,,,,,,,,,,,
ECON,The Journal of Retirement,1,315,298,298,26%,31%,26%,0.279,,,,,,,,,,,,,,,,,,
ECON,Tijdschrift Voor Economische en Sociale Geografie,1,1,106,180,157,56%,131,41%,15%,0.520,14679663,Wiley-Blackwell,4.194,1.22,Q1,2124,0.002,0.743,ECONOMICS - SSCI,2,1.35,Q2,1896,0.002,1.049,ECONOMICS
ENT-SBM,Entrepreneurship Theory and Practice,4*,4,1,2,2,31%,2,62%,6%,1.020,15406520,Wiley-Blackwell,9.993,1.92,Q1,17798,0.009,3.523,BUSINESS - SSCI,7.8,1.55,Q1,15652,0.009,3.558,BUSINESS
ENT-SBM,Journal of Business Venturing,4*,4,2,1,1,34%,1,61%,9%,1.273,18732003,Elsevier,13.139,2.44,Q1,18553,0.009,4.083,BUSINESS - SSCI,7.7,1.58,Q1,15823,0.009,3.847,BUSINESS
ENT-SBM,Strategic Entrepreneurship Journal,4,4,4,4,3,52%,4,56%,13%,0.694,1932443X,Wiley-Blackwell,5.761,1.86,Q2,3727,0.004,3.212,BUSINESS - SSCI,5.4,1.3,Q1,3770,0.004,3.689,BUSINESS
ENT-SBM,Entrepreneurship and Regional Development,3,3,10,10,9,57%,9,52%,9%,0.493,14645114,Taylor & Francis,6.408,1.36,Q2,4703,0.003,1.406,BUSINESS - SSCI,3.3,1,Q2,4058,0.003,1.392,BUSINESS
ENT-SBM,Family Business Review,3,3,3,3,4,12%,3,52%,6%,0.111,17416248,SAGE,7.575,1.39,Q2,5050,0.002,1.947,BUSINESS - SSCI,9.9,1.09,Q1,4788,0.002,2.87,BUSINESS
ENT-SBM,International Journal of Entrepreneurial Behaviour and Research,3,3,11,11,12,53%,6,40%,7%,0.255,,,,,,,,,,,,,,,,
ENT-SBM,International Small Business Journal,3,3,5,6,6,43%,45%,10%,0.637,,17412870,SAGE,6.413,1.3,Q2,5130,0.003,1.498,BUSINESS - SSCI,,,,,,,
ENT-SBM,Journal of Small Business Management,3,3,7,7,7,40%,7,46%,12%,0.508,1540627X,Wiley-Blackwell,6.881,1.37,Q2,7372,0.004,1.317,MANAGEMENT - SSCI,5.3,1.49,Q1,6777,0.004,1.25,MANAGEMENT
ENT-SBM,Small Business Economics,3,3,6,5,5,64%,5,52%,21%,1.794,15730913,Springer Nature,7.096,1.93,Q2,14093,0.01,1.606,BUSINESS - SSCI,6.5,1.5,Q1,13843,0.012,1.759,ECONOMICS
ENT-SBM,Entrepreneurship Research Journal,2,2,22,23,21,36%,12,35%,13%,0.138,21575665,Walter de Gruyter,2.61,0.37,Q4,538,0.0,0.431,BUSINESS - SSCI,2,0.47,Q3,725,0.001,0.411,BUSINESS
ENT-SBM,International Journal of Entrepreneurship and Innovation,2,2,19,22,18,54%,29%,11%,0.289,,20436882,SAGE,,0.54,,805,0.0,0.327,BUSINESS - ESCI,2.1,0.45,Q3,908,0,0.369,BUSINESS
ENT-SBM,International Journal of Entrepreneurship and Small Business,2,2,25,25,23,54%,29%,13%,0.053,,,,,,,,,,,,,,,,,
ENT-SBM,International Review of Entrepreneurship,2,2,,,,,,,,,,,,,,,,,,,,,,,,
ENT-SBM,Journal of Business Venturing Insights,2,2,12,15,10,39%,48%,10%,0.665,,,,,,,,,,,,,,,,,
ENT-SBM,Journal of Family Business Strategy,2,2,8,9,8,20%,8,51%,12%,0.090,18778585,Elsevier,6.114,1.19,Q2,2112,0.001,1.22,BUSINESS - SSCI,9.5,2.01,Q1,2675,0.002,1.906,BUSINESS
ENT-SBM,Journal of Research in Marketing and Entrepreneurship,2,24,24,26,44%,36%,13%,0.063,,,,,,,,,,,,2,0.38,Q3,432,0,0.301,BUSINESS
ENT-SBM,Journal of Small Business and Enterprise Development,2,2,14,12,15,54%,39%,8%,0.194,,14626004,Emerald,,0.69,,3069,0.001,0.586,BUSINESS - ESCI,2.9,0.58,Q2,2887,0.001,0.585,BUSINESS
ENT-SBM,Journal of Social Entrepreneurship,2,2,16,14,16,38%,36%,8%,0.280,,19420684,Taylor & Francis,,0.71,,1043,0.001,0.59,BUSINESS - ESCI,2.6,0.52,Q3,1178,0.001,0.625,BUSINESS
ENT-SBM,Venture Capital,2,2,15,16,13,79%,11,31%,12%,1.382,14645343,Taylor & Francis,3.531,1.05,Q2,918,0.001,0.851,"BUSINESS, FINANCE - SSCI",2.8,0.67,Q2,896,0.001,0.896,"BUSINESS, FINANCE"
ENT-SBM,International Entrepreneurship and Management Journal,1,1,9,8,11,55%,10,46%,8%,0.202,15551938,Springer Nature,6.15,1.35,Q2,4194,0.003,1.019,BUSINESS - SSCI,6.2,1.19,Q1,4620,0.003,1.198,BUSINESS
ENT-SBM,International Journal of Entrepreneurial Venturing,1,1,27,26,25,43%,40%,16%,0.031,,17425379,Inderscience Publishers,,0.42,,397,0.0,0.284,MANAGEMENT - ESCI,1.4,0.3,Q3,422,0,0.32,MANAGEMENT
ENT-SBM,International Journal of Management and Enterprise Development,1,1,31,29,29,48%,28%,20%,0.022,,,,,,,,,,,,,,,,,
ENT-SBM,International Journal of Small and Medium Enterprises,1,,,,,,,,,,,,,,,,,,,,,,,,,
ENT-SBM,Journal of Enterprising Communities,1,1,18,19,20,78%,36%,11%,0.280,,17506204,Emerald,,0.68,,983,0.001,0.414,BUSINESS - ESCI,2.4,0.52,Q3,1038,0.001,0.432,BUSINESS
