Journal name,JCR Abbreviation,Publisher,ISSN,eISSN,Category,Edition,Total Citations,2023 JIF,2023 JCI,% of Citable OA,JIF Rank,5 Year JIF,5 Year JIF Quartile,JIF Without Self Cites,Immediacy Index,JCI Rank,JCI Quartile,JCI Percentile,Eigenfactor,Normalized Eigenfactor,Article Influence Score,JIF Percentile,JIF Quartile,AIS Quartile,Citable Items,% of Articles in Citable items,Cited Half-Life,Citing Half-Life,Total Articles
"MATHEMATICAL PROGRAMMING","MATH PROGRAM","SPRINGER HEIDELBERG","0025-5610","1436-4646","OPERATIONS RESEARCH & MANAGEMENT SCIENCE","SCIE","12,372","2.2","0.95","33.04"%," 45/106 ","3.3","Q2","2.1","0.4"," 25/106 ","Q1","76.89","0.015","3.278","2.323","58.0","Q2","Q1","114","100"%,"16.7","11.2","114",
"PRODUCTION AND OPERATIONS MANAGEMENT","PROD OPER MANAG","SAGE PUBLICATIONS INC","1059-1478","1937-5956","OPERATIONS RESEARCH & MANAGEMENT SCIENCE","SCIE","12,031","4.8","0.98","19.97"%," 18/106 ","6","Q1","4.3","0.7"," 23/106 ","Q1","78.77","0.016","3.42","1.9","83.5","Q1","Q1","158","99.37"%,"5.9","9.1","157",
"JOURNAL OF MANUFACTURING SYSTEMS","J MANUF SYST","ELSEVIER SCI LTD","0278-6125","1878-6642","OPERATIONS RESEARCH & MANAGEMENT SCIENCE","SCIE","11,534","12.3","2.25","15.19"%," 1/106 ","11.3","Q1","11","2"," 2/106 ","Q1","98.58","0.014","2.999","2.082","99.5","Q1","Q1","201","86.57"%,"2.9","4.4","174",
"TECHNOVATION","TECHNOVATION","ELSEVIER","0166-4972","1879-2383","OPERATIONS RESEARCH & MANAGEMENT SCIENCE","SCIE","11,241","11.1","2.47","33.27"%," 2/106 ","12.1","Q1","9.4","3.3"," 1/106 ","Q1","99.53","0.006","1.389","1.994","98.6","Q1","Q1","225","89.78"%,"6.7","7.7","202",
"JOURNAL OF OPERATIONS MANAGEMENT","J OPER MANAG","WILEY","0272-6963","1873-1317","OPERATIONS RESEARCH & MANAGEMENT SCIENCE","SCIE","11,113","6.5","1.31","30.7"%," 11/106 ","9.2","Q1","5.8","1.6"," 16/106 ","Q1","85.38","0.005","0.999","2.733","90.1","Q1","Q1","39","100"%,"12.7","9.8","39",
"JOURNAL OF THE OPERATIONAL RESEARCH SOCIETY","J OPER RES SOC","TAYLOR & FRANCIS LTD","0160-5682","1476-9360","OPERATIONS RESEARCH & MANAGEMENT SCIENCE","SCIE","9,128","2.7","0.64","10.49"%," 37/106 ","3","Q2","2.3","0.5"," 42/106 ","Q2","60.85","0.005","1.108","0.646","65.6","Q2","Q2","117","97.44"%,"12.4","8.8","114",
"SYSTEMS & CONTROL LETTERS","SYST CONTROL LETT","ELSEVIER","0167-6911","1872-7956","OPERATIONS RESEARCH & MANAGEMENT SCIENCE","SCIE","8,337","2.1","0.48","13.66"%," 49/106 ","2.5","Q2","2","0.3"," 59/106 ","Q3","44.81","0.007","1.494","1.114","54.2","Q2","Q2","163","98.77"%,"13.1","9.2","161",
"TRANSPORTATION SCIENCE","TRANSPORT SCI","INFORMS","0041-1655","N/A","OPERATIONS RESEARCH & MANAGEMENT SCIENCE","SCIE","7,706","4.4","0.93","0"%," 23/106 ","5.5","Q1","4.1","0.7"," 27/106 ","Q2","75.00","0.008","1.712","2.106","78.8","Q1","Q1","64","100"%,"9.5","7","64",
"JOURNAL OF OPTIMIZATION THEORY AND APPLICATIONS","J OPTIMIZ THEORY APP","SPRINGER/PLENUM PUBLISHERS","0022-3239","1573-2878","OPERATIONS RESEARCH & MANAGEMENT SCIENCE","SCIE","7,598","1.6","0.64","21.8"%," 65/106 ","1.8","Q3","1.5","0.3"," 42/106 ","Q2","60.85","0.007","1.432","0.834","39.2","Q3","Q2","207","100"%,"13.1","11.2","207",
"PRODUCTION PLANNING & CONTROL","PROD PLAN CONTROL","TAYLOR & FRANCIS LTD","0953-7287","1366-5871","OPERATIONS RESEARCH & MANAGEMENT SCIENCE","SCIE","7,386","6.1","1.2","30.11"%," 13/106 ","8","Q1","5.1","0.9"," 17/106 ","Q1","84.43","0.006","1.363","1.27","88.2","Q1","Q1","94","95.74"%,"4.4","6.6","90",
