Journal name,JCR Abbreviation,Publisher,ISSN,eISSN,Category,Edition,Total Citations,2023 JIF,2023 JCI,% of Citable OA,JIF Rank,5 Year JIF,5 Year JIF Quartile,JIF Without Self Cites,Immediacy Index,JCI Rank,JCI Quartile,JCI Percentile,Eigenfactor,Normalized Eigenfactor,Article Influence Score,JIF Percentile,JIF Quartile,AIS Quartile,Citable Items,% of Articles in Citable items,Cited Half-Life,Citing Half-Life,Total Articles
"JOURNAL OF APPLIED PSYCHOLOGY","J APPL PSYCHOL","AMER PSYCHOLOGICAL ASSOC","0021-9010","1939-1854","MANAGEMENT","SSCI","51,850","9.4","2.65","3.83"%," 14/407 ","11.2","Q1","8.8","0.7"," 7/407 ","Q1","98.40","0.022","4.809","4.933","96.7","Q1","Q1","99","92.93"%,"18.8","13.4","92",
"MANAGEMENT SCIENCE","MANAGE SCI","INFORMS","0025-1909","1526-5501","MANAGEMENT","SSCI","47,285","4.6","1.12","0"%," 93/407 ","6.1","Q1","4.2","0.8"," 106/407 ","Q2","74.08","0.062","13.567","3.722","77.3","Q1","Q1","461","99.78"%,"12.8","9.9","460",
"ACADEMY OF MANAGEMENT JOURNAL","ACAD MANAGE J","ACAD MANAGEMENT","0001-4273","1948-0989","MANAGEMENT","SSCI","47,035","9.5","2.31","0"%," 12/407 ","13.6","Q1","9","3.8"," 14/407 ","Q1","96.68","0.024","5.208","7.656","97.2","Q1","Q1","68","98.53"%,"16.6","13.4","67",
"STRATEGIC MANAGEMENT JOURNAL","STRATEGIC MANAGE J","WILEY","0143-2095","1097-0266","MANAGEMENT","SSCI","44,943","6.5","1.56","35.38"%," 55/407 ","12","Q1","6","1.2"," 56/407 ","Q1","86.36","0.025","5.578","5.627","86.6","Q1","Q1","85","100"%,"15.6","13.2","85",
"ACADEMY OF MANAGEMENT REVIEW","ACAD MANAGE REV","ACAD MANAGEMENT","0363-7425","1930-3807","MANAGEMENT","SSCI","40,929","19.3","3.45","0"%," 1/407 ","17.1","Q1","18.7","4.8"," 3/407 ","Q1","99.39","0.014","3.06","9.144","99.9","Q1","Q1","33","90.91"%,"23.2","14.4","30",
"JOURNAL OF MANAGEMENT","J MANAGE","SAGE PUBLICATIONS INC","0149-2063","1557-1211","MANAGEMENT","SSCI","34,936","9.3","2.03","20.76"%," 15/407 ","14.7","Q1","8.9","1.2"," 21/407 ","Q1","94.96","0.024","5.309","5.668","96.4","Q1","Q1","96","78.13"%,"12.3","11.5","75",
"RESEARCH POLICY","RES POLICY","ELSEVIER","0048-7333","1873-7625","MANAGEMENT","SSCI","33,040","7.5","1.86","40.7"%," 32/407 ","10.1","Q1","7","1.2"," 34/407 ","Q1","91.77","0.021","4.72","2.936","92.3","Q1","Q1","145","97.93"%,"10.4","10.6","142",
"Tourism Management","TOURISM MANAGE","ELSEVIER SCI LTD","0261-5177","1879-3193","MANAGEMENT","SSCI","32,404","10.9","2.8","14.77"%," 9/407 ","11.5","Q1","10.4","2.7"," 5/407 ","Q1","98.89","0.019","4.208","2.314","97.9","Q1","Q1","107","96.26"%,"7.8","7.3","103",
"MIS QUARTERLY","MIS QUART","SOC INFORM MANAGE-MIS RES CENT","0276-7783","N/A","MANAGEMENT","SSCI","28,287","7","1.59","4.23"%," 47/407 ","10.4","Q1","6.7","1.4"," 53/407 ","Q1","87.10","0.01","2.166","3.631","88.6","Q1","Q1","61","91.8"%,"14.6","10.3","56",
"ORGANIZATION SCIENCE","ORGAN SCI","INFORMS","1047-7039","N/A","MANAGEMENT","SSCI","23,725","4.9","1.04","0"%," 85/407 ","6.3","Q1","4.5","1.2"," 119/407 ","Q2","70.88","0.016","3.588","4.162","79.2","Q1","Q1","84","100"%,"14.5","13.1","84",
"Business Strategy and the Environment","BUS STRATEG ENVIRON","WILEY","0964-4733","1099-0836","MANAGEMENT","SSCI","22,887","12.5","2.67","40.22"%," 5/407 ","14","Q1","10.8","1.6"," 6/407 ","Q1","98.65","0.02","4.423","2.068","98.9","Q1","Q1","305","95.41"%,"3.6","5.8","291",
"ADMINISTRATIVE SCIENCE QUARTERLY","ADMIN SCI QUART","SAGE PUBLICATIONS INC","0001-8392","1930-3815","MANAGEMENT","SSCI","20,946","8.3","1.98","34.72"%," 23/407 ","13.5","Q1","7.7","1"," 26/407 ","Q1","93.73","0.011","2.496","9.529","94.5","Q1","Q1","25","100"%,"24.7","13.4","25",
"HARVARD BUSINESS REVIEW","HARVARD BUS REV","HARVARD BUSINESS SCHOOL PUBLISHING CORPORATION","0017-8012","0017-8012","MANAGEMENT","SSCI","19,687","9.1","0.33","0"%," 16/407 ","12","Q1","9.1","1.5"," 302/407 ","Q3","25.92","0.014","3.05","5.021","96.2","Q1","Q1","80","100"%,"15.2","N/A","80",
"JOURNAL OF ORGANIZATIONAL BEHAVIOR","J ORGAN BEHAV","WILEY","0894-3796","1099-1379","MANAGEMENT","SSCI","18,578","6.2","1.44","32.16"%," 59/407 ","9.4","Q1","6","0.8"," 66/407 ","Q1","83.91","0.011","2.394","3.5","85.6","Q1","Q1","64","85.94"%,"12.3","12.8","55",
"INDUSTRIAL MARKETING MANAGEMENT","IND MARKET MANAG","ELSEVIER SCIENCE INC","0019-8501","1873-2062","MANAGEMENT","SSCI","18,260","7.8","1.82","30.13"%," 28/407 ","8.8","Q1","6.4","1.3"," 37/407 ","Q1","91.03","0.012","2.733","1.482","93.2","Q1","Q1","164","95.73"%,"6","8.4","157",
"JOURNAL OF INTERNATIONAL BUSINESS STUDIES","J INT BUS STUD","PALGRAVE MACMILLAN LTD","0047-2506","1478-6990","MANAGEMENT","SSCI","18,176","8.6","1.62","32.74"%," 22/407 ","12.3","Q1","7.6","1.8"," 50/407 ","Q1","87.84","0.013","2.818","3.973","94.7","Q1","Q1","65","90.77"%,"12.2","10.3","59",
"JOURNAL OF MANAGEMENT STUDIES","J MANAGE STUD","WILEY","0022-2380","1467-6486","MANAGEMENT","SSCI","16,196","7","1.55","58.36"%," 47/407 ","10.8","Q1","6.3","1"," 57/407 ","Q1","86.12","0.013","2.816","4.053","88.6","Q1","Q1","106","95.28"%,"12.3","11.2","101",
"ORGANIZATIONAL BEHAVIOR AND HUMAN DECISION PROCESSES","ORGAN BEHAV HUM DEC","ACADEMIC PRESS INC ELSEVIER SCIENCE","0749-5978","1095-9920","MANAGEMENT","SSCI","15,927","3.4","1.21","15.91"%," 153/407 ","5.9","Q1","3.1","0.8"," 89/407 ","Q1","78.26","0.008","1.862","3.122","62.5","Q2","Q1","27","100"%,"23.3","12.5","27",
"OPERATIONS RESEARCH","OPER RES","INFORMS","0030-364X","N/A","MANAGEMENT","SSCI","15,240","2.2","0.57","0"%," 233/407 ","3.2","Q2","2","0.5"," 229/407 ","Q3","43.86","0.011","2.431","1.877","42.9","Q3","Q1","173","100"%,"17.5","10.8","173",
"International Journal of Contemporary Hospitality Management","INT J CONTEMP HOSP M","EMERALD GROUP PUBLISHING LTD","0959-6119","1757-1049","MANAGEMENT","SSCI","15,139","9.1","2.4","3.22"%," 16/407 ","8.9","Q1","6.6","2.1"," 12/407 ","Q1","97.17","0.013","2.943","1.447","96.2","Q1","Q1","211","92.42"%,"4.2","5.6","195",
"SMALL BUSINESS ECONOMICS","SMALL BUS ECON","SPRINGER","0921-898X","1573-0913","MANAGEMENT","SSCI","13,843","6.5","1.5","49.79"%," 55/407 ","7.6","Q1","5.8","0.8"," 60/407 ","Q1","85.38","0.012","2.573","1.759","86.6","Q1","Q1","137","99.27"%,"6.9","10","136",
"LEADERSHIP QUARTERLY","LEADERSHIP QUART","ELSEVIER SCIENCE INC","1048-9843","1873-3409","MANAGEMENT","SSCI","13,479","9.1","2.29","9.63"%," 16/407 ","12.4","Q1","7.8","3.8"," 16/407 ","Q1","96.19","0.007","1.589","3.797","96.2","Q1","Q1","45","88.89"%,"12.1","10.3","40",
"OMEGA-INTERNATIONAL JOURNAL OF MANAGEMENT SCIENCE","OMEGA-INT J MANAGE S","PERGAMON-ELSEVIER SCIENCE LTD","0305-0483","1873-5274","MANAGEMENT","SSCI","13,379","6.7","1.63","12.04"%," 52/407 ","7","Q1","5.8","1.4"," 48/407 ","Q1","88.33","0.011","2.313","1.584","87.3","Q1","Q1","131","99.24"%,"7.2","6.5","130",
"INFORMATION & MANAGEMENT","INFORM MANAGE-AMSTER","ELSEVIER","0378-7206","1872-7530","MANAGEMENT","SSCI","13,338","8.2","2.58","10.66"%," 25/407 ","10.2","Q1","7.9","1.2"," 8/407 ","Q1","98.16","0.009","1.972","2.073","94.0","Q1","Q1","99","94.95"%,"7.5","8.8","94",
"INFORMATION SYSTEMS RESEARCH","INFORM SYST RES","INFORMS","1047-7047","1526-5536","MANAGEMENT","SSCI","12,685","5","1.4","0"%," 81/407 ","7.8","Q1","4.4","0.7"," 70/407 ","Q1","82.92","0.01","2.139","2.89","80.2","Q1","Q1","104","97.12"%,"12","9.3","101",
"ORGANIZATIONAL RESEARCH METHODS","ORGAN RES METHODS","SAGE PUBLICATIONS INC","1094-4281","1552-7425","MANAGEMENT","SSCI","12,677","8.9","2.3","17.95"%," 19/407 ","12.7","Q1","8.6","1.6"," 15/407 ","Q1","96.44","0.009","2.058","6.251","95.5","Q1","Q1","26","96.15"%,"10.8","8.7","25",
"Corporate Social Responsibility and Environmental Management","CORP SOC RESP ENV MA","WILEY","1535-3958","1535-3966","MANAGEMENT","SSCI","12,292","8.3","1.87","29.4"%," 23/407 ","10.7","Q1","7","1.6"," 32/407 ","Q1","92.26","0.01","2.246","1.459","94.5","Q1","Q1","250","91.6"%,"3.9","6.6","229",
"HUMAN RELATIONS","HUM RELAT","SAGE PUBLICATIONS LTD","0018-7267","1741-282X","MANAGEMENT","SSCI","11,980","4.5","1.87","42.47"%," 99/407 ","6.1","Q1","4.2","0.7"," 32/407 ","Q1","92.26","0.009","2.071","2.588","75.8","Q1","Q1","52","96.15"%,"13.8","10.5","50",
